window,strike,close,resolved,traded,pnl,equity,impulse,skew_up_mid,skew_down_mid,reason
1789404000,78657.2090369104,78625.04255473986,,0,0.0,1008.05,,,,no signal
1789404300,78624.43729841274,78834.16334455062,,0,0.0,1008.05,,,,no signal
1789404600,78836.78057784388,78837.22822652456,,0,0.0,1008.05,,,,no signal
1789404900,78820.44268398,78762.2297590164,,0,0.0,1008.05,,,,no signal
1789405200,78754.07833258505,78799.75377403255,,0,0.0,1008.05,,,,no signal
1789405500,78795.08259415766,78794.39882684787,,0,0.0,1008.05,,,,no signal
1789405800,78791.62148880523,78814.67458489597,,0,0.0,1008.05,,,,no signal
1789406100,78812.13919927798,78808.27544296607,,0,0.0,1008.05,,,,no signal
1789406400,78820.69386949492,78930.91856567608,,0,0.0,1008.05,,,,no signal
1789406700,78935.10971077802,78853.05695484822,,0,0.0,1008.05,,,,no signal
1789407000,78874.14126520044,78727.75939698995,,0,0.0,1008.05,-80.93,0.035,0.965,skipped: price>0.95 favorite
1789407300,78721.1586793313,78809.10480990371,,0,0.0,1008.05,,,,no signal
1789407600,78805.56264050386,78836.96642597625,,0,0.0,1008.05,,,,no signal
1789407900,78834.70776519786,78949.61384393057,,0,0.0,1008.05,,,,no signal
1789408200,78947.35865219757,78962.27427685563,,0,0.0,1008.05,,,,no signal
1789408500,78980.0284976699,78926.9546956669,,0,0.0,1008.05,-84.24,0.045,0.955,skipped: price>0.95 favorite
1789408800,78931.17965207138,78958.76155238916,,0,0.0,1008.05,,,,no signal
1789409100,78952.72080033287,78977.72242558138,,0,0.0,1008.05,,,,no signal
1789409400,78936.2701028472,78842.8490765756,,0,0.0,1008.05,,,,no signal
1789409700,78842.53988930183,78845.70692149173,,0,0.0,1008.05,,,,no signal
1789410000,79059.75330431698,79195.74999955433,,0,0.0,1008.05,97.52,0.975,0.025,skipped: price>0.95 favorite
1789410300,79193.40730462875,79128.93725440961,,0,0.0,1008.05,,,,no signal
1789410600,79132.34591068188,79216.07766416052,,0,0.0,1008.05,,,,no signal
1789411500,79269.43214684134,79286.09620164084,,0,0.0,1008.05,,,,no signal
1789411800,79249.34829944596,79176.49463044414,,0,0.0,1008.05,,,,no signal
1789412100,79177.52870437087,79215.45573939788,,0,0.0,1008.05,,,,no signal
1789412400,79218.38458398648,79057.33835751617,,0,0.0,1008.05,-90.14,0.015,0.985,skipped: price>0.95 favorite
1789412700,79050.6249368611,79008.35647602442,,0,0.0,1008.05,,,,no signal
1789413000,79008.2284127775,79067.0600636694,,0,0.0,1008.05,93.19,0.975,0.025,skipped: price>0.95 favorite
1789413300,79068.29420792035,79186.87448613299,,0,0.0,1008.05,,,,no signal
1789413600,79202.77908289876,79204.66399644983,,0,0.0,1008.05,,,,no signal
1789413900,79207.32795662353,79141.73559989549,,0,0.0,1008.05,,,,no signal
1789414200,79134.60653546335,79099.86824772632,,0,0.0,1008.05,,,,no signal
1789414500,79141.7062276499,78963.47140633868,,0,0.0,1008.05,-107.67,0.025,0.975,skipped: price>0.95 favorite
1789414800,78965.14434556151,79106.85619892286,,0,0.0,1008.05,90.67,0.985,0.015,skipped: price>0.95 favorite
1789415100,79130.71724738,79070.87875860468,,0,0.0,1008.05,,,,no signal
1789415400,79071.95660264301,79052.92970489935,,0,0.0,1008.05,,,,no signal
1789415700,79052.3150089263,78983.87187214324,,0,0.0,1008.05,,,,no signal
1789416000,78976.91639101798,79009.6686032148,,0,0.0,1008.05,,,,no signal
1789416300,79007.70483306653,79027.88253836185,,0,0.0,1008.05,,,,no signal
1789416600,79027.97057476379,79167.57140785987,,0,0.0,1008.05,151.07,0.985,0.015,skipped: price>0.95 favorite
1789416900,79171.45048449,79283.2274953098,,0,0.0,1008.05,,,,no signal
